Wall time,Step,Value
1681932512,54390,31.25211716
1681932516,54400,32.72063446
1681932526,54420,31.92648125
1681932549,54470,31.91276932
1681932724,54840,32.10641861
1681932758,54910,31.66697311
1681932777,54950,32.04616928
1681932805,55010,31.94014549
1681932833,55070,31.95242691
1681932857,55120,31.88363647
1681932871,55150,31.86496544
1681932881,55170,31.80220795
1681932952,55320,31.37380028
1681932994,55410,30.94330025
1681933032,55490,31.76408768
1681933113,55660,32.2003212
1681933136,55710,31.8614254
1681933146,55730,31.0885067
1681933202,55850,31.61287498
1681933212,55870,31.94908905
1681933248,55930,32.47815704
1681933305,56050,31.34304047
1681933329,56100,32.11840057
1681933376,56200,31.89540672
1681933423,56300,32.0307312
1681933556,56580,32.22984314
1681933566,56600,31.25909042
1681933585,56640,31.6932373
1681933655,56790,32.54369354
1681933849,57200,31.96771622
1681933864,57230,32.06615067
1681933949,57410,32.3227005
1681934034,57590,32.11349487
1681934123,57760,31.83920288
1681934137,57790,31.5549984
1681934161,57840,31.78271294
1681934184,57890,32.21308136
1681934213,57950,32.52595901
1681934270,58070,32.78209686
1681934274,58080,31.54761887
1681934355,58250,32.24027634
1681934369,58280,31.71359062
1681934402,58350,32.15602875
1681934530,58620,31.54756737
1681934540,58640,31.48853683
1681934573,58710,31.97372818
1681934658,58890,31.81890488
1681934667,58910,31.9471302
1681934700,58980,32.32072449
1681934743,59070,31.67454147
1681934790,59170,31.84869003
1681934795,59180,32.58276367
1681934842,59280,31.49006271
1681934861,59320,32.29786301
1681934866,59330,32.3911438
1681934956,59520,32.13225174
1681934980,59570,31.57811928
1681934989,59590,31.51216888
1681935016,59630,32.69466019
1681935059,59720,32.10146713
1681935144,59900,32.11061096
1681935239,60100,32.01563263
1681935263,60150,32.74191284
1681935305,60240,32.09592056
1681935334,60300,32.39818954
1681935338,60310,32.63698196
1681935343,60320,31.3663063
1681935357,60350,32.08868027
1681935371,60380,31.86904144
1681935476,60600,31.70589256
1681935561,60780,31.63863945
1681935580,60820,32.06375504
1681935603,60870,32.00019073
1681935637,60940,31.53378487
1681935679,61030,32.24113846
1681935689,61050,32.89919662
1681935736,61150,32.5670929
1681935764,61210,32.1132431
1681935774,61230,32.48329926
1681935802,61290,32.71072769
1681935812,61310,32.24752808
1681935821,61330,32.13101959
1681935878,61450,32.5782547
1681935887,61470,32.00819778
1681935905,61490,31.92404366
1681936014,61720,31.49982262
1681936057,61810,32.26681519
1681936071,61840,32.22161865
1681936146,62000,31.67944527
1681936194,62100,31.35669518
1681936198,62110,31.91363907
1681936208,62130,31.35271072
1681936236,62190,32.28939056
1681936265,62250,31.70525932
1681936298,62320,32.48416519
1681936322,62370,32.20716476
1681936355,62440,31.51982307
1681936383,62500,31.76418304
1681936445,62630,31.92049217
1681936567,62890,31.27804756
1681936676,63120,31.71409416
1681936695,63160,32.17476654
1681936700,63170,32.26014709
1681936733,63240,32.03549194
1681936822,63410,32.41712952
1681936874,63520,32.84028244
1681936926,63630,32.36686707
1681936959,63700,31.99112511
1681936987,63760,31.66491699
1681937101,64000,32.51485062
1681937361,64550,31.60805321
1681937380,64590,31.9589901
1681937442,64720,31.24357605
1681937494,64830,31.85428238
1681937513,64870,31.84482384
1681937551,64950,32.25266266
1681937556,64960,31.84384537
1681937574,65000,32.070961
